,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21,22,23,24,25
OR1,,SR8P,SN2,SR8C,SR10P,SN9,SN9,SN9,SR10C,SR9P,SN1,SR9C,,,,,,
,,,,,,,,,,,,,,,,,,
OR2,SR17P,SN6,SR17C,SR17C,SR2P,SR2P,SN2,SN2,SN2,SR2C,,,,,,,,
,,,,,,,,,,,,,,,,,,
OR3,,SR32P,SR32P,SN6,SR32C,SR32C,SR18P,SN10,SN10,SR18C,,,,,,,,
,,,,,,,,,,,,,,,,,,
OR4,SR15P,SN8,SN8,SR15C,SR22P,SN5,SN5,SN5,SR22C,SR33P,SN7,SR33C,,,,,,
,,,,,,,,,,,,,,,,,,
OR5,,SR6P,SN3,SN3,SN3,SR6C,SR31P,SN11,SR31C,SR31C,,,,,,,,
,,,,,,,,,,,,,,,,,,
OR6,,,SR29P,SR29P,SN12,SN12,SN12,SR29C,SR13P,SN5,SN5,SN5,SR13C,,,,,
,,,,,,,,,,,,,,,,,,
OR7,,,SR7P,SN2,SR7C,SR3P,SN3,SN3,SN3,SN3,SR3C,SR3C,,,,,,
,,,,,,,,SN4,SN4,,,,,,,,,
OR8,,SR21P,SN6,SR21C,SR14P,SN11,SN11,SR14C,SR25P,SN7,SR25,SR25C,,,,,,
,,,,,,,,,,,,,,,,,,
OR9,,SR1P,SR1P,SN1,SN1,SN1,SR1C,SR26P,SN12,SN12,SR26C,,,,,,,
,,,,,SN2,,,,,,,,,,,,,
OR10,SR12P,SN5,SN5,SN5,SR12C,,SR5P,SN1,SN1,SN1,SR5C,,,,,,,
,,,,,,,,,,,,,,,,,,
OR11,,,SR19P,SR19P,SN8,SN8,SN8,SR19C,SR27P,SN10,SN10,SR27C,SR27C,,,,,
,,,,,,,,,,,,,,,,,,
OR12,,,SR4P,SN4,SN4,SN4,SR4C,SR4C,SR24P,SR24P,SN12,SR24C,,,,,,
,,,,,,,,,,,,,,,,,,
OR13,,SR28P,SN9,SR28C,SR20P,SN7,SN7,SN7,SR20C,,,,,,,,,
,,,,,,,,,,,,,,,,,,
OR14,,,SR16P,SN10,SN10,SN10,SR16C,SR23P,SR23P,SN11,SN11,SR23C,,,,,,
,,,,,,,,,,,,,,,,,,
OR15,,,,SR11P,SN9,SR11C,SR30P,SR30P,SN8,SN8,SN8,SR30C,SR30C,,,,,
,,,,,,,,,,,,,,,,,,
